#Tax Id	C1	C2	C3	C4	C5	C6	T1	T2	T3	T4	T5	T6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Massilistercora|s__Massilistercora_timonensis	0.176142	0.154071	0.077619	0.055909	0.205467	0.156176	0.162235	0.048270	0.035652	0.237183	0.100554	0.185842
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella_sp	0.180793	0.220863	0.114067	0.071126	0.106682	0.127923	0.227567	0.226387	0.022654	0.110427	0.272680	0.163455
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_fusca	0.471184	0.228103	0.121441	0.577611	0.247991	0.492455	0.279643	0.174365	0.022099	0.154644	0.346361	0.129653
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	0.121460	0.140581	0.078599	0.052421	0.152380	0.045338	0.143070	0.053461	0.025376	0.108076	0.075397	0.109590
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0.119475	0.096255	0.929420	0.050509	0.267100	0.055755	0.103238	0.107209	0.406166	0.132387	0.248725	0.103941
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp	0.599934	0.320087	0.167714	0.693898	0.311918	0.591145	0.388137	0.201788	0.021032	0.167197	0.396332	0.159456
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella|s__Salmonella_enterica	0.139409	0.115996	0.106603	0.068568	0.153492	0.068478	0.064058	0.075011	0.020140	0.137918	0.144370	0.147553
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_intestinale	0.310901	0.391272	0.245444	0.156875	0.250655	0.190155	0.318234	0.355125	0.019563	0.288389	0.588441	0.206068
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris	0.559203	0.310590	0.153812	0.559371	0.259364	0.479270	0.372073	0.208300	0.019410	0.157128	0.410234	0.155318
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_sp	0.112290	0.156207	0.068462	0.045109	0.051697	0.072802	0.113979	0.270746	0.237124	0.111984	0.184680	0.093758
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii	0.101604	0.090595	0.038497	0.051620	0.230273	0.153427	0.146563	0.041215	0.033802	0.216184	0.092414	0.163943
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	0.623761	0.343057	0.150849	0.758901	0.287806	0.628738	0.400642	0.205849	0.018703	0.169913	0.415530	0.167012
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_argi	0.116496	0.128445	0.051709	0.044257	0.219850	0.119832	0.131773	0.038209	0.044492	0.172927	0.091997	0.136581
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp	0.138756	0.092887	0.046562	0.058596	0.083891	0.068401	0.115775	0.073967	0.017821	0.166138	0.128849	0.108172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acutalibacter|s__Acutalibacter_muris	0.113570	0.177024	0.097714	0.058906	0.148049	0.082585	0.176601	0.054462	0.017570	0.228108	0.066742	0.174846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_sp	0.247675	0.559059	0.286592	0.127784	0.175843	0.202936	0.268346	0.321531	0.017570	0.206148	0.588441	0.225619
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae	0.101186	0.218450	0.073453	0.040356	0.122062	0.058234	0.068139	0.032091	0.017146	0.069787	0.058552	0.089248
